#wRandFlip 
#The training is running for 1000 chunks, each with 10000 images. That are about 220 epochs. The validation sample contains 6157 images. 
#round  ,time, mean_train_loss , mean_valid_loss, mean_sliced_accuracy, mean_train_loss_test, mean_accuracy 
#  starting learning rate to 0.010000 
 54 , 11734.0354249 , 0.0945974 , 0.0970847, 0.190449, 0.0935966, 0.819499  
 55 , 11942.7246401 , 0.0953781 , 0.0970847, 0.190449, 0.0935966, 0.819499  
 56 , 12151.2889621 , 0.0946011 , 0.0970847, 0.190449, 0.0935966, 0.819499  
 57 , 12360.3722961 , 0.0945265 , 0.0970847, 0.190449, 0.0935966, 0.819499  
 58 , 12569.840981 , 0.0943715 , 0.0970847, 0.190449, 0.0935966, 0.819499  
 59 , 12778.8387091 , 0.0946539 , 0.0970847, 0.190449, 0.0935966, 0.819499  
 60 , 13049.8081529 , 0.0946794 , 0.0970357, 0.189076, 0.0937583, 0.822591  
 61 , 13259.1272409 , 0.0942898 , 0.0970357, 0.189076, 0.0937583, 0.822591  
 62 , 13468.7826869 , 0.0945103 , 0.0970357, 0.189076, 0.0937583, 0.822591  
 63 , 13678.1543131 , 0.0945324 , 0.0970357, 0.189076, 0.0937583, 0.822591  
 64 , 13887.4642131 , 0.0945301 , 0.0970357, 0.189076, 0.0937583, 0.822591  
 65 , 14097.2716551 , 0.0945478 , 0.0970357, 0.189076, 0.0937583, 0.822591  
 66 , 14306.4926269 , 0.0940348 , 0.0970357, 0.189076, 0.0937583, 0.822591  
 67 , 14515.950597 , 0.094335 , 0.0970357, 0.189076, 0.0937583, 0.822591  
 68 , 14726.108788 , 0.0939651 , 0.0970357, 0.189076, 0.0937583, 0.822591  
 69 , 14936.5895851 , 0.0942246 , 0.0970357, 0.189076, 0.0937583, 0.822591  
 70 , 15207.7830801 , 0.0945631 , 0.0967374, 0.186958, 0.0936778, 0.818685  
 71 , 15417.4820869 , 0.0945131 , 0.0967374, 0.186958, 0.0936778, 0.818685  
 72 , 15626.9566631 , 0.0940467 , 0.0967374, 0.186958, 0.0936778, 0.818685  
 73 , 15836.7165651 , 0.0944758 , 0.0967374, 0.186958, 0.0936778, 0.818685  
 74 , 16046.8480589 , 0.0940442 , 0.0967374, 0.186958, 0.0936778, 0.818685  
 75 , 16256.7150691 , 0.0936917 , 0.0967374, 0.186958, 0.0936778, 0.818685  
 76 , 16466.8318281 , 0.0945641 , 0.0967374, 0.186958, 0.0936778, 0.818685  
 77 , 16676.5375431 , 0.0942518 , 0.0967374, 0.186958, 0.0936778, 0.818685  
 78 , 16886.3680849 , 0.093678 , 0.0967374, 0.186958, 0.0936778, 0.818685  
 79 , 17096.5617011 , 0.0944501 , 0.0967374, 0.186958, 0.0936778, 0.818685  
 80 , 17367.5987151 , 0.0939796 , 0.0967612, 0.189338, 0.0930878, 0.819824  
 81 , 17577.5298359 , 0.0936394 , 0.0967612, 0.189338, 0.0930878, 0.819824  
 82 , 17787.736644 , 0.0938067 , 0.0967612, 0.189338, 0.0930878, 0.819824  
 83 , 17998.0830071 , 0.0936466 , 0.0967612, 0.189338, 0.0930878, 0.819824  
 84 , 18208.22738 , 0.0933665 , 0.0967612, 0.189338, 0.0930878, 0.819824  
 85 , 18418.105484 , 0.0939811 , 0.0967612, 0.189338, 0.0930878, 0.819824  
 86 , 18628.0598099 , 0.0935369 , 0.0967612, 0.189338, 0.0930878, 0.819824  
 87 , 18838.305593 , 0.0935703 , 0.0967612, 0.189338, 0.0930878, 0.819824  
 88 , 19048.42788 , 0.0935775 , 0.0967612, 0.189338, 0.0930878, 0.819824  
 89 , 19258.2577641 , 0.0937809 , 0.0967612, 0.189338, 0.0930878, 0.819824  
 90 , 19529.7698359 , 0.094001 , 0.0964281, 0.186956, 0.0930926, 0.820638  
 91 , 19740.4597421 , 0.0939938 , 0.0964281, 0.186956, 0.0930926, 0.820638  
 92 , 19950.773237 , 0.0932424 , 0.0964281, 0.186956, 0.0930926, 0.820638  
 93 , 20160.764559 , 0.0936434 , 0.0964281, 0.186956, 0.0930926, 0.820638  
 94 , 20370.9169111 , 0.0932447 , 0.0964281, 0.186956, 0.0930926, 0.820638  
 95 , 20581.581049 , 0.0939495 , 0.0964281, 0.186956, 0.0930926, 0.820638  
 96 , 20792.195241 , 0.0932233 , 0.0964281, 0.186956, 0.0930926, 0.820638  
 97 , 21002.574419 , 0.0935776 , 0.0964281, 0.186956, 0.0930926, 0.820638  
 98 , 21212.9283531 , 0.0934779 , 0.0964281, 0.186956, 0.0930926, 0.820638  
 99 , 21423.679616 , 0.093693 , 0.0964281, 0.186956, 0.0930926, 0.820638  
 100 , 21695.4404991 , 0.093241 , 0.0965596, 0.186544, 0.0923763, 0.824382  
 101 , 21905.9466801 , 0.09303 , 0.0965596, 0.186544, 0.0923763, 0.824382  
 102 , 22116.5604491 , 0.0928936 , 0.0965596, 0.186544, 0.0923763, 0.824382  
 103 , 22326.852258 , 0.0931049 , 0.0965596, 0.186544, 0.0923763, 0.824382  
 104 , 22536.846529 , 0.0935102 , 0.0965596, 0.186544, 0.0923763, 0.824382  
 105 , 22747.5194311 , 0.0934518 , 0.0965596, 0.186544, 0.0923763, 0.824382  
 106 , 22957.514713 , 0.0934016 , 0.0965596, 0.186544, 0.0923763, 0.824382  
 107 , 23167.7479329 , 0.0933461 , 0.0965596, 0.186544, 0.0923763, 0.824382  
 108 , 23378.053648 , 0.0929066 , 0.0965596, 0.186544, 0.0923763, 0.824382  
 109 , 23588.697377 , 0.0928492 , 0.0965596, 0.186544, 0.0923763, 0.824382  
 110 , 23860.507257 , 0.0930996 , 0.0965362, 0.185957, 0.092219, 0.821126  
 111 , 24070.882493 , 0.0928319 , 0.0965362, 0.185957, 0.092219, 0.821126  
 112 , 24281.060667 , 0.092929 , 0.0965362, 0.185957, 0.092219, 0.821126  
 113 , 24491.5651259 , 0.0931354 , 0.0965362, 0.185957, 0.092219, 0.821126  
 114 , 24701.803009 , 0.0932483 , 0.0965362, 0.185957, 0.092219, 0.821126  
 115 , 24912.3872399 , 0.0928624 , 0.0965362, 0.185957, 0.092219, 0.821126  
 116 , 25122.9580841 , 0.0928344 , 0.0965362, 0.185957, 0.092219, 0.821126  
 117 , 25333.189002 , 0.0929357 , 0.0965362, 0.185957, 0.092219, 0.821126  
 118 , 25543.8165441 , 0.0930059 , 0.0965362, 0.185957, 0.092219, 0.821126  
 119 , 25754.4192159 , 0.0930117 , 0.0965362, 0.185957, 0.092219, 0.821126  
 120 , 26026.5711181 , 0.0930619 , 0.0962079, 0.187138, 0.0922088, 0.818848  
 121 , 26237.0903339 , 0.0929826 , 0.0962079, 0.187138, 0.0922088, 0.818848  
 122 , 26447.5309999 , 0.092913 , 0.0962079, 0.187138, 0.0922088, 0.818848  
 123 , 26658.1033251 , 0.0928507 , 0.0962079, 0.187138, 0.0922088, 0.818848  
 124 , 26868.5206001 , 0.0925995 , 0.0962079, 0.187138, 0.0922088, 0.818848  
 125 , 27078.519609 , 0.0930413 , 0.0962079, 0.187138, 0.0922088, 0.818848  
 126 , 27288.8073781 , 0.0926207 , 0.0962079, 0.187138, 0.0922088, 0.818848  
 127 , 27498.7344651 , 0.0929037 , 0.0962079, 0.187138, 0.0922088, 0.818848  
 128 , 27709.1361279 , 0.0931251 , 0.0962079, 0.187138, 0.0922088, 0.818848  
 129 , 27919.249377 , 0.0928145 , 0.0962079, 0.187138, 0.0922088, 0.818848  
 130 , 28191.194937 , 0.0928887 , 0.0963345, 0.186218, 0.0920152, 0.821289  
 131 , 28401.4594531 , 0.0929951 , 0.0963345, 0.186218, 0.0920152, 0.821289  
 132 , 28611.66787 , 0.0929557 , 0.0963345, 0.186218, 0.0920152, 0.821289  
 133 , 28821.84377 , 0.0931993 , 0.0963345, 0.186218, 0.0920152, 0.821289  
 134 , 29032.3512571 , 0.0930055 , 0.0963345, 0.186218, 0.0920152, 0.821289  
 135 , 29242.6027391 , 0.0927987 , 0.0963345, 0.186218, 0.0920152, 0.821289  
 136 , 29453.078618 , 0.0927472 , 0.0963345, 0.186218, 0.0920152, 0.821289  
 137 , 29663.542639 , 0.0925923 , 0.0963345, 0.186218, 0.0920152, 0.821289  
 138 , 29874.305645 , 0.0928857 , 0.0963345, 0.186218, 0.0920152, 0.821289  
 139 , 30084.5082979 , 0.0926326 , 0.0963345, 0.186218, 0.0920152, 0.821289  
 140 , 30355.7049839 , 0.0929002 , 0.0960312, 0.186838, 0.0920383, 0.818197  
