#wRandFlip 
#The training is running for 1000 chunks, each with 1008 images. That are about 17 epochs. The validation sample contains 3078 images. 
#round  ,time, mean_train_loss , mean_valid_loss 
#  starting learning rate to 0.020000 
 116 , 4882.74869204 , 0.387278 , 0.39043 
 117 , 4914.00571895 , 0.382649 , 0.39043 
 118 , 4945.25677991 , 0.386758 , 0.39043 
 119 , 4976.55177093 , 0.392239 , 0.39043 
 120 , 5061.14083505 , 0.388672 , 0.393686 
 121 , 5092.39714599 , 0.396078 , 0.393686 
 122 , 5123.70318699 , 0.392877 , 0.393686 
 123 , 5154.92891002 , 0.387494 , 0.393686 
 124 , 5186.07157302 , 0.39027 , 0.393686 
 125 , 5270.60610294 , 0.384404 , 0.389419 
 126 , 5301.94292307 , 0.384133 , 0.389419 
 127 , 5333.10065508 , 0.393035 , 0.389419 
 128 , 5364.33930087 , 0.394818 , 0.389419 
 129 , 5395.5673399 , 0.388919 , 0.389419 
 130 , 5480.49084687 , 0.39284 , 0.391565 
 131 , 5511.73442101 , 0.386876 , 0.391565 
 132 , 5542.89643288 , 0.39437 , 0.391565 
 133 , 5574.13519287 , 0.388348 , 0.391565 
 134 , 5605.35729289 , 0.378879 , 0.391565 
 135 , 5689.89506507 , 0.382198 , 0.38903 
 136 , 5721.146276 , 0.38911 , 0.38903 
 137 , 5752.39591002 , 0.383057 , 0.38903 
 138 , 5783.59096003 , 0.409193 , 0.38903 
 139 , 5814.82355785 , 0.400844 , 0.38903 
 140 , 5899.50991702 , 0.411109 , 0.407321 
 141 , 5930.82508707 , 0.398241 , 0.407321 
 142 , 5962.05058002 , 0.40773 , 0.407321 
 143 , 5993.16141105 , 0.398526 , 0.407321 
 144 , 6024.35906792 , 0.404693 , 0.407321 
 145 , 6108.96194291 , 0.395766 , 0.404729 
 146 , 6140.2435019 , 0.396003 , 0.404729 
 147 , 6171.504848 , 0.406185 , 0.404729 
 148 , 6202.68696904 , 0.391816 , 0.404729 
 149 , 6233.91301799 , 0.395634 , 0.404729 
 150 , 6318.49125886 , 0.39725 , 0.402316 
 151 , 6349.72548389 , 0.39799 , 0.402316 
 152 , 6380.94823503 , 0.400613 , 0.402316 
 153 , 6412.18963194 , 0.398621 , 0.402316 
 154 , 6443.429811 , 0.404458 , 0.402316 
 155 , 6528.06301498 , 0.398422 , 0.400053 
 156 , 6559.33850193 , 0.389812 , 0.400053 
 157 , 6590.58971691 , 0.393948 , 0.400053 
 158 , 6621.8329339 , 0.388869 , 0.400053 
 159 , 6652.99911785 , 0.390908 , 0.400053 
 160 , 6737.75448298 , 0.389395 , 0.398336 
 161 , 6768.94706297 , 0.391422 , 0.398336 
 162 , 6800.04214191 , 0.409534 , 0.398336 
 163 , 6831.24825501 , 0.389504 , 0.398336 
 164 , 6862.36706591 , 0.389644 , 0.398336 
 165 , 6946.95233893 , 0.395895 , 0.391001 
 166 , 6978.22366405 , 0.392006 , 0.391001 
 167 , 7009.43256402 , 0.39461 , 0.391001 
 168 , 7040.55999994 , 0.388574 , 0.391001 
 169 , 7071.83150506 , 0.399258 , 0.391001 
 170 , 7156.54664493 , 0.390573 , 0.395899 
 171 , 7187.88757086 , 0.38701 , 0.395899 
 172 , 7219.1666739 , 0.392157 , 0.395899 
 173 , 7250.41384006 , 0.392591 , 0.395899 
 174 , 7281.77423191 , 0.387483 , 0.395899 
 175 , 7366.35640597 , 0.386301 , 0.395449 
 176 , 7397.56814408 , 0.389591 , 0.395449 
 177 , 7428.79478288 , 0.38818 , 0.395449 
 178 , 7460.03411102 , 0.38875 , 0.395449 
 179 , 7491.27434492 , 0.394295 , 0.395449 
 180 , 7575.86361694 , 0.397911 , 0.395046 
 181 , 7607.21554804 , 0.390521 , 0.395046 
 182 , 7638.76127386 , 0.395825 , 0.395046 
 183 , 7669.85061789 , 0.403943 , 0.395046 
 184 , 7700.72424293 , 0.389254 , 0.395046 
 185 , 7786.37012696 , 0.386443 , 0.394234 
 186 , 7817.72417808 , 0.389998 , 0.394234 
 187 , 7853.72989798 , 0.386067 , 0.394234 
 188 , 7884.50414085 , 0.39244 , 0.394234 
 189 , 7915.29413486 , 0.394714 , 0.394234 
 190 , 7998.713907 , 0.395304 , 0.393764 
 191 , 8029.48166108 , 0.393077 , 0.393764 
 192 , 8060.3201859 , 0.410637 , 0.393764 
 193 , 8091.15331101 , 0.405765 , 0.393764 
 194 , 8121.89274907 , 0.406857 , 0.393764 
 195 , 8205.28410602 , 0.403557 , 0.415922 
 196 , 8236.05098486 , 0.406813 , 0.415922 
 197 , 8266.83668303 , 0.412462 , 0.415922 
 198 , 8297.6605649 , 0.412067 , 0.415922 
 199 , 8328.48091602 , 0.413221 , 0.415922 
 200 , 8411.98990703 , 0.40746 , 0.412771 
 201 , 8442.83325505 , 0.40518 , 0.412771 
 202 , 8473.6786449 , 0.406868 , 0.412771 
 203 , 8504.48351288 , 0.403202 , 0.412771 
 204 , 8535.26337194 , 0.409296 , 0.412771 
 205 , 8618.72236109 , 0.402623 , 0.406555 
 206 , 8649.46590686 , 0.403903 , 0.406555 
 207 , 8680.20044208 , 0.410244 , 0.406555 
 208 , 8710.98124099 , 0.415715 , 0.406555 
 209 , 8741.79163885 , 0.400137 , 0.406555 
 210 , 8825.27960396 , 0.406538 , 0.403725 
 211 , 8856.09796786 , 0.398887 , 0.403725 
 212 , 8886.92353296 , 0.399405 , 0.403725 
 213 , 8917.71986294 , 0.400059 , 0.403725 
 214 , 8948.52429986 , 0.405137 , 0.403725 
 215 , 9032.11698103 , 0.403968 , 0.402966 
 216 , 9063.07174897 , 0.406317 , 0.402966 
 217 , 9093.89503789 , 0.404152 , 0.402966 
 218 , 9124.71905589 , 0.40213 , 0.402966 
 219 , 9155.504421 , 0.397454 , 0.402966 
 220 , 9238.98797703 , 0.403428 , 0.400898 
 221 , 9269.72132802 , 0.386227 , 0.400898 
 222 , 9300.53595901 , 0.409548 , 0.400898 
 223 , 9331.32619905 , 0.416747 , 0.400898 
 224 , 9362.23385 , 0.416262 , 0.400898 
