#wRandFlip 
#The training is running for 1000 chunks, each with 1008 images. That are about 17 epochs. The validation sample contains 3078 images. 
#round  ,time, mean_train_loss , mean_valid_loss, mean_sliced_accuracy, mean_train_loss_test, mean_accuracy 
#  starting learning rate to 0.010000 
 71 , 2811.43520594 , 0.26266 , 0.254727, 0.270657, 0.255144, 0.0  
 72 , 2839.53710079 , 0.264102 , 0.254727, 0.270657, 0.255144, 0.0  
 73 , 2868.90189195 , 0.264726 , 0.254727, 0.270657, 0.255144, 0.0  
 74 , 2896.87656283 , 0.262084 , 0.254727, 0.270657, 0.255144, 0.0  
 75 , 2965.53080988 , 0.265973 , 0.255576, 0.271216, 0.255702, 0.0  
 76 , 2993.38858581 , 0.265002 , 0.255576, 0.271216, 0.255702, 0.0  
 77 , 3022.32581282 , 0.26257 , 0.255576, 0.271216, 0.255702, 0.0  
 78 , 3050.25887799 , 0.263485 , 0.255576, 0.271216, 0.255702, 0.0  
 79 , 3079.242908 , 0.266243 , 0.255576, 0.271216, 0.255702, 0.0  
 80 , 3147.61232185 , 0.26704 , 0.252897, 0.271578, 0.254858, 0.0  
 81 , 3176.53676391 , 0.261006 , 0.252897, 0.271578, 0.254858, 0.0  
 82 , 3204.60151577 , 0.263497 , 0.252897, 0.271578, 0.254858, 0.0  
 83 , 3233.69030285 , 0.261846 , 0.252897, 0.271578, 0.254858, 0.0  
 84 , 3261.56075191 , 0.259471 , 0.252897, 0.271578, 0.254858, 0.0  
 85 , 3330.37491989 , 0.2604 , 0.252638, 0.27241, 0.250674, 0.0  
 86 , 3358.44117093 , 0.266256 , 0.252638, 0.27241, 0.250674, 0.0  
 87 , 3387.58706093 , 0.261056 , 0.252638, 0.27241, 0.250674, 0.0  
 88 , 3415.65499997 , 0.264607 , 0.252638, 0.27241, 0.250674, 0.0  
 89 , 3444.59601378 , 0.259648 , 0.252638, 0.27241, 0.250674, 0.0  
 90 , 3512.69731283 , 0.26462 , 0.25238, 0.271783, 0.251027, 0.0  
 91 , 3541.88711095 , 0.262899 , 0.25238, 0.271783, 0.251027, 0.0  
 92 , 3569.85032082 , 0.26206 , 0.25238, 0.271783, 0.251027, 0.0  
 93 , 3598.89973378 , 0.260732 , 0.25238, 0.271783, 0.251027, 0.0  
 94 , 3626.95776892 , 0.263154 , 0.25238, 0.271783, 0.251027, 0.0  
 95 , 3695.81162977 , 0.258405 , 0.253072, 0.270936, 0.251325, 0.0  
 96 , 3723.66922593 , 0.260758 , 0.253072, 0.270936, 0.251325, 0.0  
 97 , 3752.94901085 , 0.261374 , 0.253072, 0.270936, 0.251325, 0.0  
 98 , 3781.09082294 , 0.262451 , 0.253072, 0.270936, 0.251325, 0.0  
 99 , 3810.13527083 , 0.261407 , 0.253072, 0.270936, 0.251325, 0.0  
 100 , 3878.40402198 , 0.264028 , 0.252559, 0.271858, 0.251497, 0.0  
 101 , 3907.39903593 , 0.267853 , 0.252559, 0.271858, 0.251497, 0.0  
 102 , 3935.37919378 , 0.26284 , 0.252559, 0.271858, 0.251497, 0.0  
 103 , 3964.443784 , 0.263307 , 0.252559, 0.271858, 0.251497, 0.0  
 104 , 3992.54540682 , 0.261846 , 0.252559, 0.271858, 0.251497, 0.0  
 105 , 4061.54134798 , 0.264674 , 0.252851, 0.272585, 0.250669, 0.0078125  
 106 , 4089.54047298 , 0.263417 , 0.252851, 0.272585, 0.250669, 0.0078125  
 107 , 4118.71715879 , 0.263382 , 0.252851, 0.272585, 0.250669, 0.0078125  
 108 , 4146.79173493 , 0.263373 , 0.252851, 0.272585, 0.250669, 0.0078125  
 109 , 4175.86723781 , 0.264186 , 0.252851, 0.272585, 0.250669, 0.0078125  
 110 , 4245.20638585 , 0.261181 , 0.252426, 0.272742, 0.249097, 0.0  
 111 , 4276.58605099 , 0.264889 , 0.252426, 0.272742, 0.249097, 0.0  
 112 , 4304.59502196 , 0.263642 , 0.252426, 0.272742, 0.249097, 0.0  
 113 , 4333.8683219 , 0.260885 , 0.252426, 0.272742, 0.249097, 0.0  
 114 , 4361.92828989 , 0.264101 , 0.252426, 0.272742, 0.249097, 0.0  
 115 , 4430.72979188 , 0.261835 , 0.254206, 0.273463, 0.251247, 0.0413411  
 116 , 4458.772753 , 0.258175 , 0.254206, 0.273463, 0.251247, 0.0413411  
 117 , 4487.94102788 , 0.25751 , 0.254206, 0.273463, 0.251247, 0.0413411  
 118 , 4515.89079595 , 0.260843 , 0.254206, 0.273463, 0.251247, 0.0413411  
 119 , 4544.93575096 , 0.265685 , 0.254206, 0.273463, 0.251247, 0.0413411  
 120 , 4613.25662589 , 0.263743 , 0.256728, 0.272867, 0.252033, 0.0924479  
 121 , 4642.36972785 , 0.264971 , 0.256728, 0.272867, 0.252033, 0.0924479  
 122 , 4670.56803393 , 0.259396 , 0.256728, 0.272867, 0.252033, 0.0924479  
 123 , 4699.63027287 , 0.262365 , 0.256728, 0.272867, 0.252033, 0.0924479  
 124 , 4727.74112988 , 0.264243 , 0.256728, 0.272867, 0.252033, 0.0924479  
 125 , 4796.97469497 , 0.258888 , 0.252317, 0.273287, 0.248097, 0.0537109  
 126 , 4825.01876283 , 0.263115 , 0.252317, 0.273287, 0.248097, 0.0537109  
 127 , 4854.11145282 , 0.262634 , 0.252317, 0.273287, 0.248097, 0.0537109  
 128 , 4882.255023 , 0.264531 , 0.252317, 0.273287, 0.248097, 0.0537109  
 129 , 4911.5000689 , 0.259737 , 0.252317, 0.273287, 0.248097, 0.0537109  
 130 , 4979.83819079 , 0.264971 , 0.253523, 0.27356, 0.252982, 0.0732422  
 131 , 5008.86056495 , 0.260662 , 0.253523, 0.27356, 0.252982, 0.0732422  
 132 , 5041.56755686 , 0.266114 , 0.253523, 0.27356, 0.252982, 0.0732422  
 133 , 5070.687886 , 0.262124 , 0.253523, 0.27356, 0.252982, 0.0732422  
 134 , 5098.646173 , 0.260962 , 0.253523, 0.27356, 0.252982, 0.0732422  
 135 , 5167.40654993 , 0.262762 , 0.252054, 0.272965, 0.249642, 0.0458984  
 136 , 5195.3524518 , 0.258207 , 0.252054, 0.272965, 0.249642, 0.0458984  
 137 , 5224.56071591 , 0.264828 , 0.252054, 0.272965, 0.249642, 0.0458984  
 138 , 5252.57472396 , 0.260255 , 0.252054, 0.272965, 0.249642, 0.0458984  
 139 , 5281.62869978 , 0.264311 , 0.252054, 0.272965, 0.249642, 0.0458984  
 140 , 5349.89518094 , 0.257801 , 0.250802, 0.274273, 0.250658, 0.0520833  
 141 , 5378.89604282 , 0.2631 , 0.250802, 0.274273, 0.250658, 0.0520833  
 142 , 5406.77060199 , 0.259929 , 0.250802, 0.274273, 0.250658, 0.0520833  
 143 , 5435.97625399 , 0.261753 , 0.250802, 0.274273, 0.250658, 0.0520833  
 144 , 5464.00005484 , 0.263229 , 0.250802, 0.274273, 0.250658, 0.0520833  
 145 , 5532.69576192 , 0.265746 , 0.251538, 0.27474, 0.25346, 0.104167  
 146 , 5560.74722695 , 0.26266 , 0.251538, 0.27474, 0.25346, 0.104167  
 147 , 5589.74925184 , 0.261062 , 0.251538, 0.27474, 0.25346, 0.104167  
 148 , 5617.83852983 , 0.260869 , 0.251538, 0.27474, 0.25346, 0.104167  
 149 , 5647.03227997 , 0.262628 , 0.251538, 0.27474, 0.25346, 0.104167  
 150 , 5715.18789387 , 0.264264 , 0.253585, 0.274423, 0.249062, 0.106445  
 151 , 5744.24188781 , 0.262776 , 0.253585, 0.274423, 0.249062, 0.106445  
 152 , 5772.27400684 , 0.260369 , 0.253585, 0.274423, 0.249062, 0.106445  
 153 , 5801.38761592 , 0.260634 , 0.253585, 0.274423, 0.249062, 0.106445  
 154 , 5829.40397 , 0.265117 , 0.253585, 0.274423, 0.249062, 0.106445  
 155 , 5898.23386884 , 0.265875 , 0.251018, 0.275002, 0.252188, 0.0634766  
 156 , 5926.32219481 , 0.262133 , 0.251018, 0.275002, 0.252188, 0.0634766  
 157 , 5955.52065897 , 0.262429 , 0.251018, 0.275002, 0.252188, 0.0634766  
 158 , 5983.70700598 , 0.264362 , 0.251018, 0.275002, 0.252188, 0.0634766  
 159 , 6012.83870482 , 0.263298 , 0.251018, 0.275002, 0.252188, 0.0634766  
 160 , 6080.92719197 , 0.265558 , 0.254818, 0.274832, 0.252361, 0.148763  
 161 , 6110.12543797 , 0.264192 , 0.254818, 0.274832, 0.252361, 0.148763  
 162 , 6138.1527648 , 0.25979 , 0.254818, 0.274832, 0.252361, 0.148763  
 163 , 6167.26220584 , 0.261241 , 0.254818, 0.274832, 0.252361, 0.148763  
 164 , 6195.36640191 , 0.260651 , 0.254818, 0.274832, 0.252361, 0.148763  
 165 , 6264.233042 , 0.264796 , 0.251573, 0.274288, 0.252521, 0.0843099  
 166 , 6292.33327079 , 0.259154 , 0.251573, 0.274288, 0.252521, 0.0843099  
 167 , 6321.61270881 , 0.263888 , 0.251573, 0.274288, 0.252521, 0.0843099  
 168 , 6349.75344586 , 0.263345 , 0.251573, 0.274288, 0.252521, 0.0843099  
 169 , 6378.92100692 , 0.261311 , 0.251573, 0.274288, 0.252521, 0.0843099  
 170 , 6448.12508798 , 0.263702 , 0.252007, 0.27518, 0.252642, 0.107096  
 171 , 6477.38585877 , 0.264218 , 0.252007, 0.27518, 0.252642, 0.107096  
 172 , 6505.31008196 , 0.261555 , 0.252007, 0.27518, 0.252642, 0.107096  
 173 , 6534.41154099 , 0.260341 , 0.252007, 0.27518, 0.252642, 0.107096  
 174 , 6562.54028583 , 0.260821 , 0.252007, 0.27518, 0.252642, 0.107096  
 175 , 6631.45330882 , 0.258902 , 0.252326, 0.275049, 0.251217, 0.0732422  
 176 , 6659.4472928 , 0.259776 , 0.252326, 0.275049, 0.251217, 0.0732422  
 177 , 6688.43188787 , 0.259728 , 0.252326, 0.275049, 0.251217, 0.0732422  
 178 , 6716.45802879 , 0.262007 , 0.252326, 0.275049, 0.251217, 0.0732422  
 179 , 6745.57028794 , 0.265025 , 0.252326, 0.275049, 0.251217, 0.0732422  
 180 , 6813.65976286 , 0.26056 , 0.254589, 0.274901, 0.251887, 0.142578  
 181 , 6842.66129088 , 0.260247 , 0.254589, 0.274901, 0.251887, 0.142578  
 182 , 6870.60490799 , 0.264641 , 0.254589, 0.274901, 0.251887, 0.142578  
 183 , 6899.68119097 , 0.259229 , 0.254589, 0.274901, 0.251887, 0.142578  
 184 , 6927.82560778 , 0.262055 , 0.254589, 0.274901, 0.251887, 0.142578  
 185 , 6996.8100698 , 0.260877 , 0.250572, 0.274529, 0.252104, 0.0638021  
 186 , 7024.89769578 , 0.263351 , 0.250572, 0.274529, 0.252104, 0.0638021  
 187 , 7054.0602479 , 0.259382 , 0.250572, 0.274529, 0.252104, 0.0638021  
 188 , 7082.30490899 , 0.26188 , 0.250572, 0.274529, 0.252104, 0.0638021  
 189 , 7111.48942494 , 0.261877 , 0.250572, 0.274529, 0.252104, 0.0638021  
 190 , 7179.60474396 , 0.266248 , 0.251817, 0.274619, 0.252845, 0.0963542  
 191 , 7208.72464395 , 0.260387 , 0.251817, 0.274619, 0.252845, 0.0963542  
 192 , 7236.89549899 , 0.265513 , 0.251817, 0.274619, 0.252845, 0.0963542  
 193 , 7266.11648679 , 0.261122 , 0.251817, 0.274619, 0.252845, 0.0963542  
 194 , 7294.16566682 , 0.262336 , 0.251817, 0.274619, 0.252845, 0.0963542  
 195 , 7363.15306783 , 0.260517 , 0.252975, 0.274563, 0.249881, 0.124023  
 196 , 7391.31339884 , 0.262261 , 0.252975, 0.274563, 0.249881, 0.124023  
 197 , 7420.53490591 , 0.262556 , 0.252975, 0.274563, 0.249881, 0.124023  
 198 , 7448.73164892 , 0.263786 , 0.252975, 0.274563, 0.249881, 0.124023  
 199 , 7477.66861987 , 0.261303 , 0.252975, 0.274563, 0.249881, 0.124023  
 200 , 7545.83660483 , 0.262574 , 0.251496, 0.274824, 0.251212, 0.0777995  
#  setting learning rate to 0.010000 
 201 , 7578.13183498 , 0.261678 , 0.251496, 0.274824, 0.251212, 0.0777995  
 202 , 7606.11761284 , 0.263472 , 0.251496, 0.274824, 0.251212, 0.0777995  
 203 , 7635.81079793 , 0.264049 , 0.251496, 0.274824, 0.251212, 0.0777995  
 204 , 7663.67076087 , 0.260194 , 0.251496, 0.274824, 0.251212, 0.0777995  
 205 , 7732.66417384 , 0.26519 , 0.258729, 0.272847, 0.253109, 0.133464  
 206 , 7760.5025959 , 0.261445 , 0.258729, 0.272847, 0.253109, 0.133464  
 207 , 7789.558496 , 0.261441 , 0.258729, 0.272847, 0.253109, 0.133464  
 208 , 7817.6790669 , 0.261576 , 0.258729, 0.272847, 0.253109, 0.133464  
 209 , 7846.37252593 , 0.258773 , 0.258729, 0.272847, 0.253109, 0.133464  
 210 , 7914.3378458 , 0.259814 , 0.25663, 0.272787, 0.252256, 0.0423177  
 211 , 7943.76008081 , 0.262177 , 0.25663, 0.272787, 0.252256, 0.0423177  
 212 , 7971.8818028 , 0.262661 , 0.25663, 0.272787, 0.252256, 0.0423177  
 213 , 7999.97328591 , 0.260112 , 0.25663, 0.272787, 0.252256, 0.0423177  
 214 , 8028.29256177 , 0.263029 , 0.25663, 0.272787, 0.252256, 0.0423177  
 215 , 8097.93701696 , 0.260275 , 0.253054, 0.273558, 0.251212, 0.0813802  
 216 , 8127.07732177 , 0.265349 , 0.253054, 0.273558, 0.251212, 0.0813802  
 217 , 8155.28998494 , 0.265055 , 0.253054, 0.273558, 0.251212, 0.0813802  
 218 , 8183.55575085 , 0.263195 , 0.253054, 0.273558, 0.251212, 0.0813802  
 219 , 8212.92652488 , 0.261153 , 0.253054, 0.273558, 0.251212, 0.0813802  
 220 , 8281.8454659 , 0.261452 , 0.25195, 0.27435, 0.250242, 0.0439453  
 221 , 8311.19923496 , 0.265747 , 0.25195, 0.27435, 0.250242, 0.0439453  
 222 , 8339.13004589 , 0.266766 , 0.25195, 0.27435, 0.250242, 0.0439453  
 223 , 8373.44836593 , 0.263484 , 0.25195, 0.27435, 0.250242, 0.0439453  
 224 , 8401.5819819 , 0.258669 , 0.25195, 0.27435, 0.250242, 0.0439453  
 225 , 8470.35197282 , 0.261981 , 0.253753, 0.273837, 0.251768, 0.0494792  
 226 , 8498.43081784 , 0.267454 , 0.253753, 0.273837, 0.251768, 0.0494792  
 227 , 8526.4834609 , 0.260318 , 0.253753, 0.273837, 0.251768, 0.0494792  
 228 , 8555.48118091 , 0.262436 , 0.253753, 0.273837, 0.251768, 0.0494792  
 229 , 8583.43064284 , 0.265656 , 0.253753, 0.273837, 0.251768, 0.0494792  
 230 , 8652.3414638 , 0.263233 , 0.253351, 0.274494, 0.252522, 0.111003  
 231 , 8680.34528399 , 0.263571 , 0.253351, 0.274494, 0.252522, 0.111003  
 232 , 8709.50447679 , 0.2641 , 0.253351, 0.274494, 0.252522, 0.111003  
 233 , 8737.66227484 , 0.262089 , 0.253351, 0.274494, 0.252522, 0.111003  
 234 , 8765.72274995 , 0.26087 , 0.253351, 0.274494, 0.252522, 0.111003  
 235 , 8834.76538491 , 0.260796 , 0.251621, 0.274454, 0.249034, 0.0813802  
 236 , 8862.80260777 , 0.262797 , 0.251621, 0.274454, 0.249034, 0.0813802  
 237 , 8891.96999788 , 0.2617 , 0.251621, 0.274454, 0.249034, 0.0813802  
 238 , 8920.01300883 , 0.258271 , 0.251621, 0.274454, 0.249034, 0.0813802  
 239 , 8948.05677485 , 0.261474 , 0.251621, 0.274454, 0.249034, 0.0813802  
 240 , 9017.36885595 , 0.264435 , 0.258795, 0.272747, 0.253022, 0.158854  
 241 , 9045.40444493 , 0.26099 , 0.258795, 0.272747, 0.253022, 0.158854  
 242 , 9074.52689695 , 0.257029 , 0.258795, 0.272747, 0.253022, 0.158854  
 243 , 9102.55133986 , 0.262388 , 0.258795, 0.272747, 0.253022, 0.158854  
 244 , 9130.64126587 , 0.262276 , 0.258795, 0.272747, 0.253022, 0.158854  
