#wRandFlip 
#The training is running for 1000 chunks, each with 1600 images. That are about 29 epochs. The validation sample contains 6157 images. 
#round  ,time, mean_train_loss , mean_valid_loss 
#  setting learning rate to 0.080000 
 116 , 6029.27243996 , 0.113771 , 0.113796 
 117 , 6078.57264495 , 0.113138 , 0.113796 
 118 , 6127.81144094 , 0.110135 , 0.113796 
 119 , 6177.18023777 , 0.113982 , 0.113796 
 120 , 6279.9543519 , 0.11152 , 0.109495 
 121 , 6329.29679298 , 0.113406 , 0.109495 
 122 , 6378.67032599 , 0.112132 , 0.109495 
 123 , 6427.97735691 , 0.113583 , 0.109495 
 124 , 6477.32168078 , 0.111016 , 0.109495 
 125 , 6526.7171669 , 0.11365 , 0.109495 
 126 , 6576.15887499 , 0.110655 , 0.109495 
 127 , 6625.4411819 , 0.111368 , 0.109495 
 128 , 6674.71643686 , 0.111963 , 0.109495 
 129 , 6724.09576797 , 0.11199 , 0.109495 
 130 , 6773.50580883 , 0.113563 , 0.109495 
 131 , 6822.950634 , 0.110368 , 0.109495 
 132 , 6872.35409999 , 0.111992 , 0.109495 
 133 , 6921.77908087 , 0.110443 , 0.109495 
 134 , 6971.24119687 , 0.111035 , 0.109495 
 135 , 7020.58715391 , 0.11087 , 0.109495 
 136 , 7069.85388494 , 0.111955 , 0.109495 
 137 , 7119.16031981 , 0.107836 , 0.109495 
 138 , 7168.45369792 , 0.110734 , 0.109495 
 139 , 7217.67206192 , 0.108895 , 0.109495 
 140 , 7320.27522087 , 0.110573 , 0.107287 
 141 , 7369.63593483 , 0.110625 , 0.107287 
 142 , 7419.02012396 , 0.11078 , 0.107287 
 143 , 7468.29752398 , 0.110021 , 0.107287 
 144 , 7517.54843783 , 0.109758 , 0.107287 
 145 , 7566.81211782 , 0.107223 , 0.107287 
 146 , 7616.17273092 , 0.108892 , 0.107287 
 147 , 7665.52001595 , 0.111198 , 0.107287 
 148 , 7714.79247379 , 0.108269 , 0.107287 
 149 , 7764.04099584 , 0.108415 , 0.107287 
 150 , 7813.3359108 , 0.111242 , 0.107287 
 151 , 7862.60081291 , 0.108327 , 0.107287 
 152 , 7911.96628499 , 0.107243 , 0.107287 
 153 , 7961.24383092 , 0.107839 , 0.107287 
 154 , 8010.63489699 , 0.109475 , 0.107287 
 155 , 8060.14545989 , 0.107316 , 0.107287 
 156 , 8109.78697777 , 0.108672 , 0.107287 
 157 , 8159.35999894 , 0.109015 , 0.107287 
 158 , 8208.70804381 , 0.109895 , 0.107287 
 159 , 8257.987535 , 0.107863 , 0.107287 
 160 , 8360.49693489 , 0.107137 , 0.105622 
 161 , 8409.78676081 , 0.107506 , 0.105622 
 162 , 8459.04045892 , 0.107177 , 0.105622 
 163 , 8508.29958987 , 0.10844 , 0.105622 
 164 , 8557.53205085 , 0.106865 , 0.105622 
 165 , 8606.77705479 , 0.108391 , 0.105622 
 166 , 8655.86210299 , 0.107651 , 0.105622 
 167 , 8705.11709094 , 0.106829 , 0.105622 
 168 , 8754.54888296 , 0.108695 , 0.105622 
 169 , 8803.88403296 , 0.107314 , 0.105622 
 170 , 8853.23608899 , 0.108054 , 0.105622 
 171 , 8902.56192589 , 0.108195 , 0.105622 
 172 , 8951.83745885 , 0.10662 , 0.105622 
 173 , 9001.0044589 , 0.106025 , 0.105622 
