#The training is running for 1000 chunks, each with 1008 images. That are about 17 epochs. The validation sample contains 3078 images. 
#round  ,time, mean_train_loss , mean_valid_loss 
#  starting learning rate to 0.040000 
 116 , 4889.49943995 , 0.310165 , 0.308321 
 117 , 4920.57936597 , 0.309099 , 0.308321 
 118 , 4951.63523412 , 0.313807 , 0.308321 
 119 , 4982.74776602 , 0.30658 , 0.308321 
 120 , 5066.81959009 , 0.308419 , 0.306127 
 121 , 5097.91107512 , 0.309789 , 0.306127 
 122 , 5128.87420106 , 0.306733 , 0.306127 
 123 , 5159.89480495 , 0.309892 , 0.306127 
 124 , 5190.84268212 , 0.307535 , 0.306127 
 125 , 5275.02427602 , 0.30632 , 0.306719 
 126 , 5305.97258997 , 0.308885 , 0.306719 
 127 , 5336.86200213 , 0.309108 , 0.306719 
 128 , 5367.81399202 , 0.308329 , 0.306719 
 129 , 5398.69746995 , 0.306112 , 0.306719 
 130 , 5482.77363014 , 0.305315 , 0.30362 
 131 , 5513.64906406 , 0.310496 , 0.30362 
 132 , 5544.60459495 , 0.305193 , 0.30362 
 133 , 5575.65450096 , 0.304541 , 0.30362 
 134 , 5606.68316197 , 0.303285 , 0.30362 
 135 , 5690.77409601 , 0.306468 , 0.30386 
 136 , 5721.75115013 , 0.306272 , 0.30386 
 137 , 5752.72961497 , 0.302398 , 0.30386 
 138 , 5783.6221211 , 0.305329 , 0.30386 
 139 , 5814.59144497 , 0.305231 , 0.30386 
 140 , 5898.64555502 , 0.300689 , 0.303463 
 141 , 5929.58217406 , 0.30607 , 0.303463 
 142 , 5960.57397795 , 0.306125 , 0.303463 
 143 , 5991.53205204 , 0.303312 , 0.303463 
 144 , 6022.52803397 , 0.305491 , 0.303463 
 145 , 6106.67724013 , 0.301808 , 0.301653 
 146 , 6137.64196301 , 0.307862 , 0.301653 
 147 , 6168.60759306 , 0.304792 , 0.301653 
 148 , 6199.652632 , 0.307015 , 0.301653 
 149 , 6230.70376897 , 0.302809 , 0.301653 
 150 , 6314.78429103 , 0.303414 , 0.301906 
 151 , 6345.73018599 , 0.303544 , 0.301906 
 152 , 6376.65965796 , 0.302292 , 0.301906 
 153 , 6407.59237003 , 0.298479 , 0.301906 
 154 , 6438.62769413 , 0.304368 , 0.301906 
 155 , 6522.827245 , 0.307442 , 0.299669 
 156 , 6553.85404992 , 0.303933 , 0.299669 
 157 , 6584.87088799 , 0.302549 , 0.299669 
 158 , 6615.73183703 , 0.300878 , 0.299669 
 159 , 6646.76395607 , 0.30083 , 0.299669 
 160 , 6730.83502507 , 0.302157 , 0.297846 
 161 , 6761.71023297 , 0.301012 , 0.297846 
 162 , 6792.73235106 , 0.299684 , 0.297846 
 163 , 6823.74240303 , 0.303925 , 0.297846 
 164 , 6854.66770601 , 0.300826 , 0.297846 
 165 , 6938.78807092 , 0.307126 , 0.300634 
 166 , 6969.73946214 , 0.299651 , 0.300634 
 167 , 7000.63852191 , 0.302428 , 0.300634 
 168 , 7031.58068109 , 0.302301 , 0.300634 
 169 , 7062.58563995 , 0.302198 , 0.300634 
 170 , 7146.74118996 , 0.302396 , 0.296915 
 171 , 7177.64098692 , 0.301151 , 0.296915 
 172 , 7208.63272214 , 0.295677 , 0.296915 
 173 , 7239.63420105 , 0.298078 , 0.296915 
 174 , 7270.61794114 , 0.296053 , 0.296915 
 175 , 7354.86203909 , 0.30181 , 0.296117 
 176 , 7385.95011306 , 0.298953 , 0.296117 
 177 , 7416.99118996 , 0.299517 , 0.296117 
 178 , 7447.89363313 , 0.296942 , 0.296117 
 179 , 7478.84917498 , 0.296823 , 0.296117 
 180 , 7562.93237495 , 0.297146 , 0.298223 
 181 , 7593.865134 , 0.29544 , 0.298223 
 182 , 7624.87761712 , 0.298315 , 0.298223 
 183 , 7655.88569307 , 0.298619 , 0.298223 
 184 , 7686.86044312 , 0.2974 , 0.298223 
 185 , 7770.99318695 , 0.297537 , 0.29982 
 186 , 7801.91235304 , 0.300539 , 0.29982 
 187 , 7832.84844899 , 0.30129 , 0.29982 
 188 , 7863.8916831 , 0.296326 , 0.29982 
 189 , 7894.92924905 , 0.295061 , 0.29982 
 190 , 7979.1356411 , 0.299681 , 0.294579 
 191 , 8010.13266301 , 0.292789 , 0.294579 
 192 , 8041.11354113 , 0.298403 , 0.294579 
 193 , 8072.03737998 , 0.29395 , 0.294579 
 194 , 8102.99977303 , 0.299021 , 0.294579 
 195 , 8187.04130507 , 0.295072 , 0.29544 
 196 , 8218.07249212 , 0.298324 , 0.29544 
 197 , 8249.13793802 , 0.300904 , 0.29544 
 198 , 8280.25057912 , 0.300718 , 0.29544 
 199 , 8311.20993614 , 0.299025 , 0.29544 
 200 , 8395.43898797 , 0.297351 , 0.294363 
 201 , 8426.40346313 , 0.292399 , 0.294363 
 202 , 8457.52477503 , 0.30042 , 0.294363 
 203 , 8488.49663496 , 0.296733 , 0.294363 
 204 , 8519.56206799 , 0.299642 , 0.294363 
 205 , 8603.67904401 , 0.294293 , 0.293424 
 206 , 8634.53337312 , 0.298276 , 0.293424 
 207 , 8665.47745299 , 0.299883 , 0.293424 
 208 , 8696.349756 , 0.296964 , 0.293424 
 209 , 8727.25792909 , 0.29468 , 0.293424 
 210 , 8811.400846 , 0.296453 , 0.294952 
 211 , 8842.28766108 , 0.296537 , 0.294952 
 212 , 8873.21470308 , 0.299893 , 0.294952 
 213 , 8904.18467808 , 0.297765 , 0.294952 
